CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:54:02 07/02/25,73,73,73,73,73,73,,,70,87,17,4566.45,,70,87,12,4566.45,,70,87,6,4566.45,,70,87,17,4566.45,,70,87,10,4566.45,,70,87,6,4566.45,50.4,
16:54:12 07/02/25,72,72,72,72,72,72,,,70,87,18,4641.31,,70,87,7,4641.31,,70,87,5,3713.05,,70,87,18,3713.05,,70,87,7,3713.05,,70,87,4,3713.05,50.0,
16:54:22 07/02/25,74,74,74,74,74,74,,,70,87,18,3668.13,,70,87,6,3668.13,,70,87,4,3668.13,,70,87,13,3668.13,,70,87,5,3668.13,,70,87,2,3668.13,50.4,
16:54:32 07/02/25,74,74,74,74,74,74,,,70,87,13,4541.50,,70,87,9,4541.50,,70,87,4,4541.50,,70,87,15,4541.50,,70,87,6,4541.50,,70,87,3,4541.50,50.8,
16:54:42 07/02/25,72,72,72,72,72,72,,,70,87,19,3668.13,,70,87,9,3668.13,,70,87,3,3668.13,,70,87,14,3668.13,,70,87,7,3668.13,,70,87,2,3668.13,50.1,
16:54:52 07/02/25,74,74,74,74,74,74,,,70,87,21,3713.05,,70,87,16,3713.05,,70,87,5,4641.31,,70,87,18,4641.31,,70,87,8,3713.05,,70,87,10,3713.05,49.8,
16:55:02 07/02/25,73,73,73,73,73,73,,,70,87,13,4591.41,,70,87,4,4591.41,,70,87,3,3668.13,,70,87,11,3668.13,,70,87,7,3668.13,,70,87,3,3668.13,49.3,
16:55:12 07/02/25,73,73,73,73,73,73,,,70,87,10,3668.13,,70,87,8,3668.13,,70,87,4,4641.31,,70,87,10,4641.31,,70,87,6,3713.05,,70,87,4,3713.05,49.3,
16:55:22 07/02/25,73,73,73,73,73,73,,,70,87,21,4641.31,,70,87,11,4641.31,,70,87,6,4641.31,,70,87,15,4616.36,,70,87,9,3693.09,,70,87,4,3693.09,53.6,
16:55:32 07/02/25,74,74,74,74,74,74,,,70,87,19,4641.31,,70,87,14,4641.31,,70,87,9,3713.05,,70,87,13,3713.05,,70,87,8,3713.05,,70,87,10,4616.36,51.8,
16:55:42 07/02/25,74,74,74,74,74,74,,,70,87,25,4591.41,,70,87,13,4641.31,,70,87,8,3713.05,,70,87,18,3713.05,,70,87,9,3713.05,,70,87,8,3713.05,56.6,
