CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,00:48:52 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
01:04:14 06/28/25,57,57,57,57,57,57,,,57,86,7,4641.21,,57,86,1,4616.25,,57,86,0,3693.00,,57,86,0,3693.00,,57,86,1,3693.00,,57,86,0,3693.00,27.9,
01:04:24 06/28/25,58,58,58,58,58,58,,,57,86,4,3593.19,,57,86,3,3593.19,,57,86,0,3593.19,,57,86,4,3593.19,,57,86,3,3593.19,,57,86,0,3593.19,29.9,
01:04:34 06/28/25,58,58,58,58,58,58,,,57,86,5,3593.19,,57,86,3,3593.19,,57,86,0,3593.19,,57,86,1,3593.19,,57,86,5,3593.19,,57,86,1,3593.19,26.2,
01:04:44 06/28/25,57,57,57,57,57,57,,,57,86,2,3593.19,,57,86,1,3593.19,,57,86,1,3593.19,,57,86,2,3593.19,,57,86,2,3593.19,,57,86,3,3593.19,30.4,
01:04:54 06/28/25,66,66,66,66,66,66,,,57,86,26,4616.25,,57,86,10,4616.25,,57,86,7,4616.25,,57,86,34,4616.25,,57,86,11,4616.25,,57,86,8,4616.25,59.3,
01:05:04 06/28/25,65,65,65,65,65,65,,,57,86,3,3593.19,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,5,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,30.1,
01:05:14 06/28/25,58,58,58,58,58,58,,,57,86,6,3593.19,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,2,3593.19,,57,86,1,3593.19,,57,86,0,3593.19,26.1,
01:05:24 06/28/25,56,56,56,56,56,56,,,56,86,3,3593.19,,56,86,2,3593.19,,56,86,1,3593.19,,56,86,2,3593.19,,56,86,1,3593.19,,56,86,0,3593.19,27.1,
01:05:34 06/28/25,57,57,57,57,57,57,,,56,86,2,3593.19,,56,86,1,3593.19,,56,86,1,3593.19,,56,86,2,3593.19,,56,86,0,3593.19,,56,86,3,3593.19,26.3,
01:05:44 06/28/25,56,56,56,56,56,56,,,56,86,2,3593.19,,56,86,5,3593.19,,56,86,1,3593.19,,56,86,3,3593.19,,56,86,4,3593.19,,56,86,1,3593.19,29.5,
01:05:54 06/28/25,56,56,56,56,56,56,,,56,86,5,3593.19,,56,86,1,3593.19,,56,86,1,3593.19,,56,86,5,3593.19,,56,86,2,3593.19,,56,86,3,3593.19,27.7,
01:06:04 06/28/25,56,56,56,56,56,56,,,56,86,4,3593.19,,56,86,0,3593.19,,56,86,0,3593.19,,56,86,2,3593.19,,56,86,0,3593.19,,56,86,5,3593.19,27.0,
01:06:14 06/28/25,56,56,56,56,56,56,,,56,86,3,3593.19,,56,86,1,3593.19,,56,86,1,3593.19,,56,86,3,3593.19,,56,86,0,3593.19,,56,86,1,3593.19,26.3,
01:06:24 06/28/25,56,56,56,56,56,56,,,55,86,3,3593.19,,55,86,0,3593.19,,55,86,1,3593.19,,55,86,3,3593.19,,55,86,0,3593.19,,55,86,1,3593.19,29.9,
01:06:34 06/28/25,56,56,56,56,56,56,,,55,86,3,3593.19,,55,86,2,3593.19,,55,86,1,3593.19,,55,86,1,3593.19,,55,86,0,3593.19,,55,86,1,3593.19,27.8,
